Player_ID,Player,Team,DblDbl,TplDbl,FortyPts,TwentyReb,TwentyAst,FiveStl,FiveBlk,HighGame,Techs,HOB,AstTO,StlTO,FTFGA,Ws,Ls,WinPct,OWS,DWS,WS,Type
1551,Junior Burrough,BOS,0,0,0,0,0,0,0,13,0,.034,0.4,0.4,0.5,23,38,.377,-0.6,0.3,-0.3,Career Misc
88918,Tremont Waters *,BOS,0,0,0,0,0,1,0,8,0,.066,1.1,0.7,0.2,8,3,.727,-0.5,0.2,-0.3,Career Misc
401,Ha Seung-Jin,POR,0,0,0,0,0,0,0,13,0,.020,0.1,0.2,0.5,8,38,.174,-0.4,0.1,-0.3,Career Misc
49409,Maurice Martin,DEN,0,0,0,0,0,0,0,12,0,.038,1.1,0.4,0.4,37,32,.536,-0.7,0.4,-0.3,Career Misc
3533,Elmer Bennett,ATL,0,0,0,0,0,0,0,6,0,.050,1.1,0.5,0.4,8,13,.381,-0.4,0.1,-0.3,Career Misc
11827,Kevin Murphy,UTA,0,0,0,0,0,0,0,9,0,.014,0.7,0.3,0.0,11,6,.647,-0.3,0.0,-0.3,Career Misc
1042,Lavor Postell,NYK,0,0,0,0,0,0,0,20,0,.035,0.4,0.3,0.5,24,37,.393,-0.6,0.3,-0.3,Career Misc
49361,Mike Morrison,PHX,0,0,0,0,0,0,0,11,0,.021,0.5,0.1,0.4,26,10,.722,-0.4,0.2,-0.3,Career Misc
1143,Dragan Tarlac,CHI,0,0,0,0,0,0,0,10,0,.049,0.8,0.2,0.3,4,39,.093,-0.5,0.2,-0.3,Career Misc
2265,Rodney Monroe,ATL,0,0,0,0,0,0,0,13,0,.050,1.2,0.5,0.2,14,24,.368,-0.5,0.2,-0.3,Career Misc
801,Mike Taylor,LAC,0,0,0,0,0,0,0,35,0,.115,1.5,0.5,0.3,13,38,.255,-0.9,0.6,-0.3,Career Misc
10687,Justin Harper,-,0,0,0,0,0,0,0,16,0,.028,0.3,0.2,0.1,12,10,.545,-0.4,0.1,-0.3,Career Misc
309,Jeremy Richardson,-,0,0,0,0,0,0,0,8,0,.023,0.5,0.4,0.1,25,20,.556,-0.4,0.1,-0.3,Career Misc
24680,Emmanuel Mudiay *,-,7,0,0,0,0,1,0,34,0,.199,1.7,0.3,0.3,130,170,.433,-4.2,3.9,-0.3,Career Misc
